iter,loss
0,0.07754423469305038
100,0.04164745658636093
200,0.024614937603473663
300,0.016033349558711052
400,0.011201715096831322
500,0.008619491010904312
600,0.006926893722265959
700,0.005376934073865414
800,0.004601329565048218
900,0.003921342082321644
1000,0.0039220848120749
1100,0.003282721620053053
1200,0.002905251458287239
1300,0.002751990221440792
1400,0.0025992104783654213
1500,0.002488726284354925
1600,0.0023859459906816483
1700,0.0020822000224143267
1800,0.001973232487216592
1900,0.001861975179053843
2000,0.0018004871672019362
2100,0.001828035106882453
2200,0.0016006807563826442
2300,0.0013891475973650813
2400,0.0015458478592336178
2500,0.0014398746425285935
2600,0.0012990172253921628
2700,0.0014583072625100613
2800,0.0012621028581634164
2900,0.001133100944571197
3000,0.001349102589301765
3100,0.001127856783568859
3200,0.001052984967827797
3300,0.0010356077691540122
3400,0.0009417487308382988
3500,0.0010339857544749975
3600,0.0009351128828711808
3700,0.0009578900062479079
3800,0.0008991007343865931
3900,0.0008634387631900609
4000,0.0009271749295294285
4100,0.0008866408024914563
4200,0.0007804499473422766
4300,0.0007745252805761993
4400,0.0007485852693207562
4500,0.0008058600360527635
4600,0.0008049564203247428
4700,0.0007123255636543036
4800,0.0007536195334978402
4900,0.0006530602695420384
5000,0.0006983207422308624
5100,0.0008255389984697104
5200,0.0006463606259785593
5300,0.000641982420347631
5400,0.0006699168588966131
5500,0.0006132352282293141
5600,0.0006434842944145203
5700,0.0005933782085776329
5800,0.0005847454303875566
5900,0.0005478691309690475
6000,0.0005608601495623589
6100,0.0005019172094762325
6200,0.000572561752051115
6300,0.0005924875731579959
6400,0.0005180045263841748
6500,0.0005000693490728736
6600,0.0004927663248963654
6700,0.000495151849463582
6800,0.0005031042383052409
6900,0.00048147386405617
7000,0.00045537168625742197
7100,0.00042422270053066313
7200,0.0004763278120663017
7300,0.00046444369945675135
7400,0.0004677859542425722
7500,0.0003719536471180618
7600,0.00043031046516261995
7700,0.00043544653453864157
7800,0.0004690965579356998
7900,0.00042077546822838485
8000,0.00040513722342438996
8100,0.0003738412051461637
8200,0.0004005027003586292
8300,0.0003443945897743106
8400,0.0003728152660187334
8500,0.0003635205212049186
8600,0.0003508134977892041
8700,0.0003902263124473393
8800,0.0003137299499940127
8900,0.00038194764056243
9000,0.00035419658524915576
9100,0.00038712273817509413
9200,0.0003838382544927299
9300,0.0003734411729965359
9400,0.0002824197872541845
9500,0.00032420046045444906
9600,0.0002946254098787904
9700,0.0003032800741493702
9800,0.0002651760878507048
9900,0.0003092823317274451
10000,0.00029544896096922457
10100,0.0003333863860461861
10200,0.0002920156402979046
10300,0.0003039404400624335
10400,0.0002734565641731024
10500,0.00028320372803136706
10600,0.0003042117168661207
10700,0.0002794604515656829
10800,0.0002541517314966768
10900,0.0002605896443128586
11000,0.00024377908266615123
11100,0.00022562271624337882
11200,0.00024699748610146344
